_GROUP,_ITEM,_ITEMNAME
CHILLED SANDWICH & BREAD,100232,Cream Cheese & Sweet Cilli Pizza 
CHILLED SANDWICH & BREAD,100157,Pizza Spicy Chicken Slice
CHILLED SANDWICH & BREAD,100115,Matcha Croissant
CHILLED SANDWICH & BREAD,100002,Ham & Cheese Croissants
CHILLED SANDWICH & BREAD,100185,Tonkatsu Roll
CHILLED SANDWICH & BREAD,100148,Wrap n’ Roll Chicken Arabiki Salsa Sause
CHILLED SANDWICH & BREAD,100112,Pandan Custard Bread
CHILLED SANDWICH & BREAD,100113,Ham Cheese Sandwich 
CHILLED SANDWICH & BREAD,100173,Sausage Cheese Danish
CHILLED SANDWICH & BREAD,100202,Breast Chicken Sandwich with Pumpkin
CHILLED SANDWICH & BREAD,100172,Tamago Sando
CHILLED SANDWICH & BREAD,100226,Breast Chicken Sandwich with Spinach
APPETIZER,200260,Black Pepper Vietnamese Sausage
APPETIZER,200078,Soft-Boiled Egg
APPETIZER,200451,Fried Pork with Garlic & Pepper
APPETIZER,200004,Roasted BBQ Chicken with Honey
APPETIZER,200213,Gyoza
FRUIT & CHILLED DESSERT,300278,Banana
FRUIT & CHILLED DESSERT,300416,Pineapple
FRUIT & CHILLED DESSERT,300313,Milk Jujube
BURGER & HOT SERVE,800069,New Orleans Chicken
BURGER & HOT SERVE,800164,Ham Cheese and Fried Egg Sandwich
CHILLED MEAL BOX 1,1900160,Sushi Set
CHILLED MEAL BOX 1,1900180,Amaebi Sushi
CHILLED MEAL BOX 1,1900125,Steamed Jasmine Rice Big Pack
CHILLED MEAL BOX 1,1900143,Sticky Rice
CHILLED MEAL BOX 1,1900020,Steamed Jasmine Rice
SAUSAGE - COLD CUT AND FURTHER,2100323,Cheese Stuffed Chicken Sausage
SAUSAGE - COLD CUT AND FURTHER,2100328,Cocktail Sausage
CHILLED MEAL BOX 2,2200090,Spaghetti Carbonara
CHILLED MEAL BOX 2,2200095,Remen
CHILLED MEAL BOX 2,2200075,Grilled Spicy Chicken Rice
CHILLED MEAL BOX 2,2200082,Boiled Chicken with Fish Sauce
CHILLED MEAL BOX 2,2200091,Stir Fried Pork with Pepper & Garlic
CHILLED MEAL BOX 2,2200027,Grilled Chicken Sticky Rice
CHILLED MEAL BOX 2,2200048,Fried Fish with Spicy Herb Rice
CHILLED MEAL BOX 2,2200018,Chicken Spaghetti
PASTEURIZED MILK,3000146,Chicken Sandwich
PASTEURIZED MILK,3000221,Butter
PASTEURIZED MILK,3000053,Soy Milk
PASTEURIZED MILK,3000345,Soy Milk
PASTEURIZED MILK,3000406,Lychee Yoghurt and Aloe Vera
PASTEURIZED MILK,3000449,Grape Flavoured Yoghurt with Nate De Coco
PASTEURIZED MILK,3000348,Mix Berry Smoothie Rice
PASTEURIZED MILK,3000349,Strawberry Smoothie Rice
PASTEURIZED MILK,3002764,Low-Fat Drinking Yoghurt
PASTEURIZED MILK,3000311,Pineapple Flavored Drinking Yoghurt
PASTEURIZED MILK,3000101,Mix Berry Flavored Drinking Yoghurt
PASTEURIZED MILK,3000259,Strawberry Flavored Drinking Yoghurt
PASTEURIZED MILK,3000092,Orange Flavored Drinking Yoghurt
PASTEURIZED MILK,3000186,Pasteurized Drinking Yoghurt
PASTEURIZED MILK,3000327,Life Plus Drinking Yoghurt Fat 0%
PASTEURIZED MILK,3002701,Drinking Yoghurt
PASTEURIZED MILK,3000320,Chocolate Milk
PASTEURIZED MILK,3000040,Milk
PASTEURIZED MILK,3001317,Strawberry Milk
PASTEURIZED MILK,3001318,Coffee Flavored Milk
PASTEURIZED MILK,3000066,Pasteurized Milk
PASTEURIZED MILK,3000410,Low-Fat Pasteurized Milk
PASTEURIZED MILK,3000317,White Malt Milk
PASTEURIZED MILK,3000408,Pasteurized Lactose Free Milk
PASTEURIZED MILK,3000062,Pasteurized Strawberry Flavored Milk
PASTEURIZED MILK,3001304,Pasteurized Coffee Flavored Milk
PASTEURIZED MILK,3000275,Matcha Latte Milk
PASTEURIZED MILK,3000402,Pasteurized Chocolate Flavored Milk
PASTEURIZED DRINK,3100072,Rose Tea
PASTEURIZED DRINK,3100048,Pasteurized Milk Tea
PASTEURIZED DRINK,3100084,Rose Tea Milk
PASTEURIZED DRINK,3100085,Lychee Tea
PASTEURIZED DRINK,3100044,Milk Tea
PASTEURIZED DRINK,3100037,Mocha
PASTEURIZED DRINK,3100024,Coffee
PASTEURIZED DRINK,3100092,Strawberry Juice
PASTEURIZED DRINK,3100076,Almond Milk
SANDWICH BREAD,6102575,Raisin Bun
SANDWICH BREAD,6100091,Bread
SANDWICH BREAD,6100082,Sandwich Wheat Loaf
SANDWICH BREAD,6100081,Flax Seeds and Oat Wheat Loaf
SANDWICH BREAD,6102576,Sandwich
SANDWICH BREAD,6100088,Charcoal Bread
